STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-02-21,,,13.2,,2.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-02-22,0.0,",,E",7.0,",,E",8.4,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-02-23,0.0,",,E",9.0,",,E",5.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-02-24,0.0,",,E",15.0,",,E",6.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-02-25,0.0,",,E",17.0,",,E",9.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-02-26,0.0,",,E",18.0,",,E",10.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-02-27,0.0,",,E",16.0,",,E",12.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-02-28,,,17.5,,12.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-02-29,0.0,",,E",21.0,",,E",8.2,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-01,0.0,",,E",22.0,",,E",15.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-02,0.0,",,E",15.0,",,E",9.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-03,,,6.2,,8.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-07,0.0,",,E",12.0,",,E",-0.8,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-08,0.0,",,E",9.0,",,E",1.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-09,0.0,",,E",5.0,",,E",-1.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-10,0.0,",,E",2.0,",,E",-2.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-11,0.0,",,E",3.0,",,E",-2.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-12,,,7.8,,0.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-15,0.0,",,E",12.0,",,E",1.4,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-16,0.0,",,E",2.0,",,E",0.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-17,0.0,",,E",6.0,",,E",-1.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-18,0.0,",,E",7.0,",,E",0.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-19,0.0,",,E",12.0,",,E",4.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-20,,,14.8,,4.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-21,0.0,",,E",15.0,",,E",7.2,
