STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-01,0.5,",,S",19.4,",,S",4.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-02,0.5,",,S",19.0,",,S",4.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-03,0.5,",,S",19.1,",,S",4.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-04,0.5,",,S",18.8,",,S",4.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-05,0.5,",,S",18.8,",,S",4.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-06,0.5,",,S",19.2,",,S",3.4,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-07,0.5,",,S",19.4,",,S",3.4,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-08,0.5,",,S",19.5,",,S",3.4,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-09,0.5,",,S",18.8,",,S",3.4,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-10,0.0,",,S",18.8,",,S",7.0,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-11,0.0,",,S",20.0,",,S",9.2,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-12,0.0,",,S",20.0,",,S",9.2,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-13,0.0,",,S",20.0,",,S",9.2,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-14,0.0,",,S",18.8,",,S",9.2,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-15,0.0,",,S",21.1,",,S",2.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-16,0.0,",,S",21.1,",,S",1.0,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-17,0.0,",,S",14.1,",,S",1.7,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-18,0.0,",,S",14.1,",,S",2.2,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-19,0.3,",,S",15.5,",,S",5.3,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-20,5.1,",,S",15.5,",,S",5.3,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-21,2.0,",,S",14.1,",,S",2.7,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-22,0.0,",,S",16.9,",,S",3.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-23,0.0,",,S",19.3,",,S",7.7,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-24,0.0,",,S",16.9,",,S",7.7,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-25,5.1,",,S",21.7,",,S",7.7,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-26,7.9,",,S",22.4,",,S",7.7,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-27,0.0,",,S",22.4,",,S",7.7,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-28,0.0,",,S",21.7,",,S",7.7,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-29,0.5,",,S",23.2,",,S",7.7,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-30,0.0,",,S",23.2,",,S",7.7,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-31,0.0,",,S",23.2,",,S",7.7,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-01,0.0,",,S",23.3,",,S",4.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-02,0.0,",,S",23.2,",,S",4.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-03,0.3,",,S",23.1,",,S",4.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-04,0.0,",,S",23.0,",,S",6.0,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-05,0.5,",,S",23.2,",,S",4.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-06,0.0,",,S",23.4,",,S",4.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-07,0.0,",,S",23.1,",,S",10.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-08,0.0,",,S",22.8,",,S",10.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-09,0.0,",,S",22.6,",,S",10.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-10,0.0,",,S",23.2,",,S",10.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-11,0.0,",,S",23.7,",,S",4.8,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-12,0.0,",,S",22.3,",,S",4.8,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-13,0.0,",,S",21.8,",,S",7.7,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-14,0.0,",,S",21.8,",,S",5.2,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-15,0.0,",,S",23.2,",,S",10.0,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-16,0.3,",,S",24.2,",,S",11.0,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-17,0.3,",,S",19.6,",,S",11.6,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-18,0.0,",,S",20.0,",,S",11.6,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-19,0.0,",,S",25.0,",,S",11.6,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-20,0.0,",,S",23.3,",,S",9.4,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-21,0.3,",,S",26.8,",,S",9.4,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-22,0.0,",,S",21.1,",,S",9.4,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-23,0.3,",,S",21.1,",,S",9.4,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-24,0.0,",,S",21.1,",,S",7.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-25,0.0,",,S",21.4,",,S",7.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-26,0.0,",,S",20.8,",,S",7.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-27,0.0,",,S",22.6,",,S",7.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-28,0.0,",,S",22.6,",,S",7.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-29,0.0,",,S",22.6,",,S",9.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-01,0.3,",,S",22.6,",,S",7.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-02,0.0,",,S",26.3,",,S",10.2,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-03,0.0,",,S",25.1,",,S",10.2,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-04,0.0,",,S",25.1,",,S",9.6,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-05,0.0,",,S",25.1,",,S",12.6,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-06,0.5,",,S",28.2,",,S",12.6,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-07,0.0,",,S",28.2,",,S",12.6,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-08,0.0,",,S",25.1,",,S",12.6,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-09,0.0,",,S",31.4,",,S",5.2,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-10,0.0,",,S",31.4,",,S",5.2,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-11,0.0,",,S",31.4,",,S",5.2,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-12,0.0,",,S",16.5,",,S",5.2,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-13,0.0,",,S",16.5,",,S",5.2,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-14,0.0,",,S",16.5,",,S",12.0,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-15,0.0,",,S",17.3,",,S",12.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-16,0.0,",,S",16.2,",,S",12.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-17,0.0,",,S",16.9,",,S",12.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-18,0.0,",,S",19.0,",,S",7.0,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-19,0.0,",,S",19.0,",,S",10.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-20,0.0,",,S",18.7,",,S",10.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-21,7.9,",,S",19.4,",,S",10.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-22,0.5,",,S",19.6,",,S",9.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-23,2.0,",,S",19.4,",,S",5.0,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-24,0.0,",,S",19.8,",,S",5.0,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-25,0.5,",,S",19.8,",,S",6.7,",,S"
